coin_id,coin_name,coin_symbol,price_usd,price_change_pct_24h,price_change_pct_7d,market_rank,abs_change_24h
siren-2,Siren,siren,0.84141,16.21557,47.457409186451315,91,16.21557
pepe,Pepe,pepe,3.9e-06,9.84936,12.067053501427646,52,9.84936
hash-2,Provenance Blockchain,hash,0.01214184,9.67221,14.247382963543211,85,9.67221
polkadot,Polkadot,dot,1.26,8.92387,0.4645189296870158,44,8.92387
ethena,Ethena,ena,0.103662,8.66192,19.338467447401268,75,8.66192
filecoin,Filecoin,fil,0.973639,8.49525,10.497964881228365,81,8.49525
aptos,Aptos,apt,0.924167,7.75174,11.960068109713704,82,7.75174
pump-fun,Pump.fun,pump,0.00197171,7.25297,12.394096658351428,64,7.25297
bonk,Bonk,bonk,6.25e-06,6.74991,9.17660312525022,98,6.74991
internet-computer,Internet Computer,icp,2.57,6.50113,2.854070184743489,58,6.50113
near,NEAR Protocol,near,1.44,6.32183,7.406494306418643,46,6.32183
aave,Aave,aave,106.52,5.99749,18.17226146841926,54,5.99749
arbitrum,Arbitrum,arb,0.118622,5.6209,16.69405810659584,83,5.6209
ondo-finance,Ondo,ondo,0.264,5.36707,4.726163356896729,63,5.36707
sui,Sui,sui,0.981059,5.29657,7.977245856212864,29,5.29657
cardano,Cardano,ada,0.250829,4.77579,0.5962327766493538,15,4.77579
worldcoin-wld,Worldcoin,wld,0.309682,4.57863,21.09487070948609,69,4.57863
hyperliquid,Hyperliquid,hype,45.37,4.5418,17.467607176069365,13,4.5418
shiba-inu,Shiba Inu,shib,6.09e-06,4.33684,3.7654495756844932,32,4.33684
jupiter-exchange-solana,Jupiter,jup,0.172263,4.318,7.642659748336282,90,4.318
polygon-ecosystem-token,POL (ex-MATIC),pol,0.087212,4.2398,0.8388911231653596,73,4.2398
ripple,XRP,xrp,1.41,4.20531,5.7928195781153535,4,4.20531
uniswap,Uniswap,uni,3.26,4.13043,6.079158956258803,45,4.13043
official-trump,Official Trump,trump,2.92,4.10476,-0.37563978623370736,86,4.10476
dogecoin,Dogecoin,doge,0.096621,3.8643,5.698471513826446,10,3.8643
kaspa,Kaspa,kas,0.03330146,3.78799,3.6784675756879346,74,3.78799
vechain,VeChain,vet,0.00714784,3.77259,-0.08821507469014479,89,3.77259
dexe,DeXe,dexe,11.61,-3.73112,44.27268755460847,99,3.73112
xdce-crowd-sale,XDC Network,xdc,0.0314878,3.59156,2.4045903548350105,87,3.59156
stellar,Stellar,xlm,0.160896,3.55475,3.2161468276861256,22,3.55475
cosmos,Cosmos Hub,atom,1.8,3.43327,0.5390166648554583,76,3.43327
hedera-hashgraph,Hedera,hbar,0.088037,3.40548,-1.231666964691584,30,3.40548
gatechain-token,Gate,gt,7.22,3.1854,11.328876183294193,66,3.1854
the-open-network,Toncoin,ton,1.41,3.17254,14.046698632464839,34,3.17254
solana,Solana,sol,85.53,3.10595,4.142886366643932,7,3.10595
ethereum-classic,Ethereum Classic,etc,8.56,3.09924,1.6287397055816104,61,3.09924
flare-networks,Flare,flr,0.00820922,2.9665,10.85958768564701,84,2.9665
chainlink,Chainlink,link,9.29,2.92809,6.068387700707364,17,2.92809
morpho,Morpho,morpho,1.79,2.90291,2.3593268762189963,70,2.90291
litecoin,Litecoin,ltc,55.55,2.8916,3.118076718806195,25,2.8916
zcash,Zcash,zec,343.88,-2.87181,7.789868040689647,20,2.87181
avalanche-2,Avalanche,avax,9.58,2.77056,6.272618133083742,26,2.77056
bitcoin-cash,Bitcoin Cash,bch,442.46,2.53898,0.17082955743271702,16,2.53898
algorand,Algorand,algo,0.113336,2.53526,3.1415621475187727,68,2.53526
canton-network,Canton,cc,0.147596,-2.51572,0.828143786977204,21,2.51572
pi-network,Pi Network,pi,0.171418,2.30218,1.8563585657025372,49,2.30218
ravedao,RaveDAO,rave,14.45,-2.13875,4180.983721307411,33,2.13875
kucoin-shares,KuCoin,kcs,8.63,2.00431,3.7360228214468547,65,2.00431
okb,OKB,okb,86.03,1.9728,3.2731233912075774,47,1.9728
crypto-com-chain,Cronos,cro,0.069935,1.95672,0.27616552503951397,35,1.95672
rain,Rain,rain,0.0078161,1.87003,-2.2285458705557426,31,1.87003
mantle,Mantle,mnt,0.665107,1.82807,1.1031550120707474,43,1.82807
binancecoin,BNB,bnb,624.53,1.78581,4.047688115767533,5,1.78581
render-token,Render,render,1.89,1.77399,-7.525628198974339,71,1.77399
ethereum,Ethereum,eth,2353.06,1.74461,7.865066699504307,2,1.74461
bitcoin,Bitcoin,btc,74926.0,1.69103,5.581185719322222,1,1.69103
quant-network,Quant,qnt,75.18,1.63921,2.823765097135583,67,1.63921
stable-2,​​Stable,stable,0.02586738,-1.49083,1.67062377629354,96,1.49083
monero,Monero,xmr,346.36,1.45488,6.470381178542123,18,1.45488
aster-2,Aster,aster,0.671781,1.45308,1.3822184017618124,51,1.45308
world-liberty-financial,World Liberty Financial,wlfi,0.081374,0.97402,-11.583092966058189,38,0.97402
sky,Sky,sky,0.075012,0.97152,-1.5289518921945107,50,0.97152
memecore,MemeCore,m,2.84,-0.82842,7.903947632862403,23,0.82842
bittensor,Bittensor,tao,242.99,-0.7591,-24.376226307146386,41,0.7591
tron,TRON,trx,0.325754,0.73251,2.694430165843727,8,0.73251
whitebit,WhiteBIT Coin,wbt,54.6,0.72158,3.718937198486479,11,0.72158
pancakeswap-token,PancakeSwap,cake,1.61,0.64342,9.27792456330711,100,0.64342
bitget-token,Bitget Token,bgb,1.91,0.62077,0.8645506950589793,60,0.62077
ondo-us-dollar-yield,Ondo US Dollar Yield,usdy,1.12,-0.46147,-0.3692987110099512,59,0.46147
tether-gold,Tether Gold,xaut,4804.94,0.30286,2.251484094057514,37,0.30286
nexo,NEXO,nexo,0.897691,0.28803,2.2392263525270946,77,0.28803
htx-dao,HTX DAO,htx,1.79e-06,0.2351,2.377779152733215,53,0.2351
pax-gold,PAX Gold,paxg,4814.1,0.16112,2.280582948712442,40,0.16112
figure-heloc,Figure Heloc,figr_heloc,1.029,0.15682,-0.2991391176132318,9,0.15682
eutbl,Spiko EU T-Bills Money Market Fund,eutbl,1.24,0.1436,1.240968603616402,72,0.1436
midnight-3,Midnight,night,0.03587105,0.10881,-11.63495693343145,93,0.10881
dai,Dai,dai,0.9999,0.06049,0.11939552288977552,24,0.06049
usd1-wlfi,USD1,usd1,1.0,0.05358,0.0856854026061038,28,0.05358
leo-token,LEO Token,leo,10.15,0.05109,0.22566444550078127,14,0.05109
falcon-finance,Falcon USD,usdf,0.998014,-0.03268,0.00762484102261895,48,0.03268
global-dollar,Global Dollar,usdg,1.0,0.03042,0.009454554202854182,42,0.03042
bfusd,BFUSD,bfusd,0.999305,-0.02613,-0.019328617290121468,62,0.02613
tether,Tether,usdt,1.0,-0.01991,0.011120847476387549,3,0.01991
usual-usd,Usual USD,usd0,0.998278,0.01948,0.24891363988377885,97,0.01948
usdd,USDD,usdd,1.0,-0.01487,0.01548473272076213,55,0.01487
ylds,YLDS,ylds,0.999758,-0.01192,-0.006235134985310361,95,0.01192
gho,GHO,gho,0.999641,0.01064,0.008402857642270091,94,0.01064
ethena-usde,Ethena USDe,usde,0.999926,-0.00981,-0.008737354871100557,19,0.00981
superstate-short-duration-us-government-securities-fund-ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.05,0.00961,0.06692607764838472,79,0.00961
ousg,OUSG,ousg,114.93,0.0093,0.06836538928856226,92,0.0093
janus-henderson-anemoy-treasury-fund,Janus Henderson Anemoy Treasury Fund,jtrsy,1.1,0.00809,0.06320457182766616,57,0.00809
ripple-usd,Ripple USD,rlusd,0.999957,0.006,0.002342804590431473,56,0.006
beldex,Beldex,bdx,0.080097,0.0032,0.33046056678355934,88,0.0032
paypal-usd,PayPal USD,pyusd,1.0,0.00276,0.0025268601409020176,27,0.00276
usd-coin,USDC,usdc,0.999791,-0.00232,-0.017219111297763746,6,0.00232
usds,USDS,usds,0.999726,0.00162,-0.012722832217165896,12,0.00162
usdtb,USDtb,usdtb,0.999888,-0.00147,-0.006336408998915626,78,0.00147
blockchain-capital,Blockchain Capital,bcap,82.76,0.0,-0.36118468576931995,80,0.0
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,0.0,0.0,39,0.0
hashnote-usyc,Circle USYC,usyc,1.12,,-0.09008107207235128,36,
